flo2d_250_station_id,ob_1_id,ob_2_id,ob_3_id,ob_4_id,ob_5_id,ob_6_id,ob_7_id,ob_8_id,ob_9_id,ob_10_id
157,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
158,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
159,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
160,100061,100038,100056,100043,100064,100057,100075,100059,100042,100045
161,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
162,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
163,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
164,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
165,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
166,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
167,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
168,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
169,100075,100064,100043,100038,100056,100042,100061,100057,100059,100045
170,100064,100075,100043,100038,100056,100042,100061,100057,100059,100045
171,100064,100075,100043,100038,100056,100042,100061,100057,100059,100045
172,100064,100075,100043,100038,100056,100061,100042,100057,100059,100045
173,100064,100075,100043,100038,100056,100061,100042,100057,100059,100045
174,100064,100075,100043,100038,100056,100061,100042,100057,100059,100045
175,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
176,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
177,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
178,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
179,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
180,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
181,100064,100075,100038,100043,100056,100061,100057,100059,100042,100045
182,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
183,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
184,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
185,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
186,100064,100038,100075,100043,100061,100056,100057,100059,100042,100045
187,100064,100038,100075,100043,100061,100056,100057,100059,100042,100045
188,100064,100038,100043,100061,100075,100056,100057,100059,100042,100045
189,100038,100064,100061,100043,100075,100056,100057,100059,100042,100045
190,100038,100064,100061,100043,100056,100075,100057,100059,100042,100045
191,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
192,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
193,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
194,100038,100061,100043,100056,100064,100075,100057,100059,100042,100045
195,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
196,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
197,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
198,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
199,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
200,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
201,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
202,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
203,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
204,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
205,100038,100061,100056,100043,100057,100064,100075,100059,100042,100045
206,100038,100061,100056,100043,100057,100064,100075,100059,100042,100045
207,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
208,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
209,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
210,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
211,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
212,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
213,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
214,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
