id,stationId,name,control,status,longitude,latitude,resolution,description
1100180,wrf0_79.984352_6.670418,wrf0_79.984352_6.670418,virtual,n/a,79.9844,6.67042,0,WRF point
1100181,wrf0_80.011581_6.670418,wrf0_80.011581_6.670418,virtual,n/a,80.0116,6.67042,0,WRF point
1100182,wrf0_80.038811_6.670418,wrf0_80.038811_6.670418,virtual,n/a,80.0388,6.67042,0,WRF point
1100183,wrf0_80.066040_6.670418,wrf0_80.066040_6.670418,virtual,n/a,80.066,6.67042,0,WRF point
1100184,wrf0_80.093269_6.670418,wrf0_80.093269_6.670418,virtual,n/a,80.0933,6.67042,0,WRF point
1100185,wrf0_80.120499_6.670418,wrf0_80.120499_6.670418,virtual,n/a,80.1205,6.67042,0,WRF point
1100186,wrf0_80.147728_6.670418,wrf0_80.147728_6.670418,virtual,n/a,80.1477,6.67042,0,WRF point
1100187,wrf0_80.174957_6.670418,wrf0_80.174957_6.670418,virtual,n/a,80.175,6.67042,0,WRF point
1100188,wrf0_80.202187_6.670418,wrf0_80.202187_6.670418,virtual,n/a,80.2022,6.67042,0,WRF point
1100189,wrf0_80.229416_6.670418,wrf0_80.229416_6.670418,virtual,n/a,80.2294,6.67042,0,WRF point
1100190,wrf0_80.256645_6.670418,wrf0_80.256645_6.670418,virtual,n/a,80.2566,6.67042,0,WRF point
1100191,wrf0_80.283875_6.670418,wrf0_80.283875_6.670418,virtual,n/a,80.2839,6.67042,0,WRF point
1100192,wrf0_80.311104_6.670418,wrf0_80.311104_6.670418,virtual,n/a,80.3111,6.67042,0,WRF point
1100193,wrf0_80.338333_6.670418,wrf0_80.338333_6.670418,virtual,n/a,80.3383,6.67042,0,WRF point
1100194,wrf0_80.365562_6.670418,wrf0_80.365562_6.670418,virtual,n/a,80.3656,6.67042,0,WRF point
1100195,wrf0_80.392792_6.670418,wrf0_80.392792_6.670418,virtual,n/a,80.3928,6.67042,0,WRF point
1100196,wrf0_80.420021_6.670418,wrf0_80.420021_6.670418,virtual,n/a,80.42,6.67042,0,WRF point
1100197,wrf0_80.447250_6.670418,wrf0_80.447250_6.670418,virtual,n/a,80.4473,6.67042,0,WRF point
1100198,wrf0_80.474480_6.670418,wrf0_80.474480_6.670418,virtual,n/a,80.4745,6.67042,0,WRF point
1100199,wrf0_80.501709_6.670418,wrf0_80.501709_6.670418,virtual,n/a,80.5017,6.67042,0,WRF point
1100200,wrf0_80.528938_6.670418,wrf0_80.528938_6.670418,virtual,n/a,80.5289,6.67042,0,WRF point
1100201,wrf0_80.556168_6.670418,wrf0_80.556168_6.670418,virtual,n/a,80.5562,6.67042,0,WRF point
1100202,wrf0_80.583397_6.670418,wrf0_80.583397_6.670418,virtual,n/a,80.5834,6.67042,0,WRF point
1100203,wrf0_80.610626_6.670418,wrf0_80.610626_6.670418,virtual,n/a,80.6106,6.67042,0,WRF point
1100204,wrf0_80.637856_6.670418,wrf0_80.637856_6.670418,virtual,n/a,80.6379,6.67042,0,WRF point
1100205,wrf0_80.665085_6.670418,wrf0_80.665085_6.670418,virtual,n/a,80.6651,6.67042,0,WRF point
1100206,wrf0_80.692314_6.670418,wrf0_80.692314_6.670418,virtual,n/a,80.6923,6.67042,0,WRF point
1100207,wrf0_80.719543_6.670418,wrf0_80.719543_6.670418,virtual,n/a,80.7195,6.67042,0,WRF point
1100208,wrf0_80.746773_6.670418,wrf0_80.746773_6.670418,virtual,n/a,80.7468,6.67042,0,WRF point
1100209,wrf0_80.774002_6.670418,wrf0_80.774002_6.670418,virtual,n/a,80.774,6.67042,0,WRF point
1100210,wrf0_79.848206_6.697456,wrf0_79.848206_6.697456,virtual,n/a,79.8482,6.69746,0,WRF point
1100211,wrf0_79.875435_6.697456,wrf0_79.875435_6.697456,virtual,n/a,79.8754,6.69746,0,WRF point
1100212,wrf0_79.902664_6.697456,wrf0_79.902664_6.697456,virtual,n/a,79.9027,6.69746,0,WRF point
1100213,wrf0_79.929893_6.697456,wrf0_79.929893_6.697456,virtual,n/a,79.9299,6.69746,0,WRF point
1100214,wrf0_79.957123_6.697456,wrf0_79.957123_6.697456,virtual,n/a,79.9571,6.69746,0,WRF point
1100215,wrf0_79.984352_6.697456,wrf0_79.984352_6.697456,virtual,n/a,79.9844,6.69746,0,WRF point
1100216,wrf0_80.011581_6.697456,wrf0_80.011581_6.697456,virtual,n/a,80.0116,6.69746,0,WRF point
1100217,wrf0_80.038811_6.697456,wrf0_80.038811_6.697456,virtual,n/a,80.0388,6.69746,0,WRF point
