id,longitude,latitude
1103404,80.0933,6.96781
1103405,80.1205,6.96781
1103406,80.1477,6.96781
1103407,80.175,6.96781
1103408,80.2022,6.96781
1103409,80.2294,6.96781
1103410,80.2566,6.96781
1103411,80.2839,6.96781
1103412,80.3111,6.96781
1103413,80.3383,6.96781
1103414,80.3656,6.96781
1103415,80.3928,6.96781
1103416,80.42,6.96781
1103417,80.4473,6.96781
1103418,80.4745,6.96781
1103419,80.5017,6.96781
1103420,80.5289,6.96781
1103421,80.5562,6.96781
1103422,80.5834,6.96781
1103423,80.6106,6.96781
1103424,80.6379,6.96781
1103425,80.6651,6.96781
1103426,80.6923,6.96781
1103427,80.7195,6.96781
1103428,80.7468,6.96781
1103429,80.774,6.96781
1103430,79.8482,6.99484
1103431,79.8754,6.99484
1103432,79.9027,6.99484
1103433,79.9299,6.99484
1103434,79.9571,6.99484
1103435,79.9844,6.99484
1103436,80.0116,6.99484
1103437,80.0388,6.99484
1103438,80.066,6.99484
1103439,80.0933,6.99484
1103440,80.1205,6.99484
1103441,80.1477,6.99484
1103442,80.175,6.99484
1103443,80.2022,6.99484
1103444,80.2294,6.99484
1103445,80.2566,6.99484
1103446,80.2839,6.99484
1103447,80.3111,6.99484
1103448,80.3383,6.99484
1103449,80.3656,6.99484
1103450,80.3928,6.99484
1103451,80.42,6.99484
1103452,80.4473,6.99484
1103453,80.4745,6.99484
1103454,80.5017,6.99484
1103455,80.5289,6.99484
1103456,80.5562,6.99484
1103457,80.5834,6.99484
1103458,80.6106,6.99484
1103459,80.6379,6.99484
1103460,80.6651,6.99484
1103461,80.6923,6.99484
1103462,80.7195,6.99484
1103463,80.7468,6.99484
1103464,80.774,6.99484
1103465,79.8482,7.02187
1103466,79.8754,7.02187
1103467,79.9027,7.02187
1103468,79.9299,7.02187
1103469,79.9571,7.02187
1103470,79.9844,7.02187
1103471,80.0116,7.02187
1103472,80.0388,7.02187
1103473,80.066,7.02187
1103474,80.0933,7.02187
1103475,80.1205,7.02187
1103476,80.1477,7.02187
1103477,80.175,7.02187
1103478,80.2022,7.02187
1103479,80.2294,7.02187
1103480,80.2566,7.02187
1103481,80.2839,7.02187
1103482,80.3111,7.02187
1103483,80.3383,7.02187
1103484,80.3656,7.02187
1103485,80.3928,7.02187
1103486,80.42,7.02187
1103487,80.4473,7.02187
1103488,80.4745,7.02187
1103489,80.5017,7.02187
1103490,80.5289,7.02187
1103491,80.5562,7.02187
1103492,80.5834,7.02187
1103493,80.6106,7.02187
1103494,80.6379,7.02187
1103495,80.6651,7.02187
1103496,80.6923,7.02187
1103497,80.7195,7.02187
1103498,80.7468,7.02187
1103499,80.774,7.02187
1103500,79.8482,7.0489
1103501,79.8754,7.0489
1103502,79.9027,7.0489
1103503,79.9299,7.0489
1103504,79.9571,7.0489
1103505,79.9844,7.0489
1103506,80.0116,7.0489
1103507,80.0388,7.0489
1103508,80.066,7.0489
1103509,80.0933,7.0489
1103510,80.1205,7.0489
1103511,80.1477,7.0489
1103512,80.175,7.0489
1103513,80.2022,7.0489
1103514,80.2294,7.0489
1103515,80.2566,7.0489
1103516,80.2839,7.0489
1103517,80.3111,7.0489
1103518,80.3383,7.0489
1103519,80.3656,7.0489
1103520,80.3928,7.0489
1103521,80.42,7.0489
1103522,80.4473,7.0489
1103523,80.4745,7.0489
1103524,80.5017,7.0489
1103525,80.5289,7.0489
1103526,80.5562,7.0489
