0           41550
H             48.5          120.0
H             48.583        118.0
H             48.667        118.0
H             48.75         118.0
H             48.833        118.0
H             48.917        116.0
H             49.0          116.0
H             49.083        114.0
H             49.167        115.0
H             49.25         115.0
H             49.333        115.0
H             49.417        115.0
H             49.5          115.0
H             49.583        114.0
H             49.667        113.0
H             49.75         114.0
H             49.833        113.0
H             49.917        111.0
H             50.0          112.0
H             50.083        111.0
H             50.167        111.0
H             50.25         110.0
H             50.333        110.0
H             50.417        111.0
H             50.5          109.0
H             50.583        109.0
H             50.667        110.0
H             50.75         111.0
H             50.833        109.0
H             50.917        109.0
H             51.0          109.0
H             51.083        110.0
H             51.167        108.0
H             51.25         108.0
H             51.333        108.0
H             51.417        108.0
H             51.5          108.0
H             51.583        108.0
H             51.667        108.0
H             51.75         108.0
H             51.833        108.0
H             51.917        108.0
H             52.0          108.0
H             52.083        108.0
H             52.167        108.0
H             52.25         108.0
H             52.333        108.0
H             52.417        108.0
H             52.5          108.0
H             52.583        108.0
H             52.667        108.0
H             52.75         108.0
H             52.833        108.0
H             52.917        108.0
H             53.0          108.0
H             53.083        108.0
H             53.167        108.0
H             53.25         108.0
H             53.333        108.0
H             53.417        108.0
H             53.5          108.0
H             53.583        108.0
H             53.667        107.0
H             53.75         107.0
H             53.833        106.0
H             53.917        106.0
H             54.0          105.0
H             54.083        107.0
H             54.167        105.0
H             54.25         104.0
H             54.333        105.0
H             54.417        105.0
H             54.5          104.0
H             54.583        104.0
H             54.667        104.0
H             54.75         104.0
H             54.833        104.0
H             54.917        102.0
H             55.0          102.0
H             55.083        102.0
H             55.167        103.0
H             55.25         101.0
H             55.333        101.0
H             55.417        101.0
H             55.5          102.0
H             55.583        101.0
H             55.667        102.0
H             55.75         101.0
H             55.833        100.0
H             55.917        98.0
H             56.0          100.0
H             56.083        99.0
H             56.167        99.0
H             56.25         98.0
H             56.333        99.0
H             56.417        98.0
H             56.5          98.0
H             56.583        98.0
H             56.667        97.0
H             56.75         96.0
H             56.833        96.0
H             56.917        96.0
H             57.0          96.0
H             57.083        96.0
H             57.167        95.0
H             57.25         95.0
H             57.333        95.0
H             57.417        95.0
H             57.5          95.0
H             57.583        95.0
H             57.667        95.0
H             57.75         96.0
H             57.833        95.0
H             57.917        94.0
H             58.0          94.0
H             58.083        93.0
H             58.167        94.0
H             58.25         92.0
H             58.333        92.0
H             58.417        94.0
H             58.5          93.0
H             58.583        92.0
H             58.667        93.0
H             58.75         93.0
H             58.833        92.0
H             58.917        91.0
H             59.0          91.0
H             59.083        91.0
H             59.167        91.0
H             59.25         91.0
H             59.333        90.0
H             59.417        90.0
H             59.5          90.0
H             59.583        89.0
H             59.667        89.0
H             59.75         89.0
H             59.833        89.0
H             59.917        89.0
H             60.0          89.0
H             60.083        90.0
H             60.167        89.0
H             60.25         87.0
H             60.333        88.0
H             60.417        88.0
H             60.5          87.0
H             60.583        87.0
H             60.667        86.0
H             60.75         86.0
H             60.833        86.0
H             60.917        86.0
H             61.0          86.0
H             61.083        85.0
H             61.167        84.0
H             61.25         86.0
H             61.333        84.0
H             61.417        85.0
H             61.5          85.0
H             61.583        85.0
H             61.667        85.0
H             61.75         85.0
H             61.833        85.0
H             61.917        85.0
H             62.0          86.0
H             62.083        85.0
H             62.167        85.0
H             62.25         85.0
H             62.333        85.0
H             62.417        85.0
H             62.5          86.0
H             62.583        87.0
H             62.667        86.0
H             62.75         87.0
H             62.833        87.0
H             62.917        88.0
H             63.0          87.0
H             63.083        89.0
H             63.167        89.0
H             63.25         89.0
H             63.333        90.0
H             63.417        91.0
H             63.5          92.0
H             63.583        91.0
H             63.667        91.0
H             63.75         93.0
H             63.833        93.0
H             63.917        94.0
H             64.0          93.0
H             64.083        94.0
H             64.167        95.0
H             64.25         97.0
H             64.333        96.0
H             64.417        95.0
H             64.5          96.0
H             64.583        97.0
H             64.667        97.0
H             64.75         99.0
H             64.833        99.0
H             64.917        99.0
H             65.0          100.0
H             65.083        100.0
H             65.167        102.0
H             65.25         101.0
H             65.333        103.0
H             65.417        103.0
H             65.5          105.0
H             65.583        105.0
H             65.667        106.0
H             65.75         108.0
H             65.833        108.0
H             65.917        108.0
H             66.0          110.0
H             66.083        111.0
H             66.167        109.0
H             66.25         110.0
H             66.333        112.0
H             66.417        112.0
H             66.5          113.0
H             66.583        114.0
H             66.667        113.0
H             66.75         114.0
H             66.833        115.0
H             66.917        116.0
H             67.0          116.0
H             67.083        117.0
H             67.167        117.0
H             67.25         117.0
H             67.333        117.0
H             67.417        118.0
H             67.5          119.0
H             67.583        120.0
H             67.667        120.0
H             67.75         120.0
H             67.833        121.0
H             67.917        120.0
